,GMIS.Region,GMIS.Division,Position,Total.Filled,Total.Unfilled,Total.Authorized,Filling.Up.Rate
1528,National Capital Region (NCR),Regional Office - NCR,Security Guard I,6,0,6,100
1529,National Capital Region (NCR),Regional Office - NCR,Senior Education Program Specialist,1,1,2,50
1530,National Capital Region (NCR),Regional Office - NCR,Special Investigator III,1,0,1,100
1531,National Capital Region (NCR),Regional Office - NCR,Statistician I,1,0,1,100
1532,National Capital Region (NCR),Regional Office - NCR,Supervising Administrative Officer ,2,0,2,100
1533,National Capital Region (NCR),Regional Office - NCR,Teacher Credentials Evaluator II,1,0,1,100
1534,National Capital Region (NCR),Regional Office - NCR,Teaching-Aids Specialist,1,0,1,100
12713,National Capital Region (NCR),Regional Office - NCR,Accountant I,0,3,3,0
12714,National Capital Region (NCR),Regional Office - NCR,Accountant III,0,1,1,0
12715,National Capital Region (NCR),Regional Office - NCR,Attorney II,0,1,1,0
12716,National Capital Region (NCR),Regional Office - NCR,Health Education and Promotion Officer II,0,1,1,0
12717,National Capital Region (NCR),Regional Office - NCR,Health Education and Promotion Officer III,0,1,1,0
12718,National Capital Region (NCR),Regional Office - NCR,Security Guard II,0,1,1,0
12767,Negros Island Region,Regional Office - NIR,Accountant I,0,1,1,0
12768,Negros Island Region,Regional Office - NIR,Accountant II,0,1,1,0
12769,Negros Island Region,Regional Office - NIR,Accountant III,0,1,1,0
12770,Negros Island Region,Regional Office - NIR,Administrative Aide VI,0,1,1,0
12771,Negros Island Region,Regional Office - NIR,Administrative Assistant III,0,2,2,0
12772,Negros Island Region,Regional Office - NIR,Administrative Officer I,0,2,2,0
12773,Negros Island Region,Regional Office - NIR,Administrative Officer II,0,3,3,0
12774,Negros Island Region,Regional Office - NIR,Administrative Officer V,0,5,5,0
12775,Negros Island Region,Regional Office - NIR,Attorney III,0,1,1,0
12776,Negros Island Region,Regional Office - NIR,Chief Administrative Officer,0,2,2,0
12777,Negros Island Region,Regional Office - NIR,Chief Education Supervisor,0,6,6,0
12778,Negros Island Region,Regional Office - NIR,Computer Programmer II,0,1,1,0
12779,Negros Island Region,Regional Office - NIR,Dentist III,0,1,1,0
12780,Negros Island Region,Regional Office - NIR,Director III,0,1,1,0
12781,Negros Island Region,Regional Office - NIR,Director IV,0,1,1,0
7113,Region VI - Western Visayas,Division of Aklan,Accountant I,4,0,4,100
7114,Region VI - Western Visayas,Division of Aklan,Accountant III,1,0,1,100
7115,Region VI - Western Visayas,Division of Aklan,Administrative Aide I,38,2,40,95
7116,Region VI - Western Visayas,Division of Aklan,Administrative Aide II,1,1,2,50
7117,Region VI - Western Visayas,Division of Aklan,Administrative Aide III,14,1,15,93.33
7118,Region VI - Western Visayas,Division of Aklan,Administrative Aide IV,7,0,7,100
7119,Region VI - Western Visayas,Division of Aklan,Administrative Aide VI,7,2,9,77.78
7120,Region VI - Western Visayas,Division of Aklan,Administrative Assistant I,1,0,1,100
7121,Region VI - Western Visayas,Division of Aklan,Administrative Assistant II,154,25,179,86.03
7122,Region VI - Western Visayas,Division of Aklan,Administrative Assistant III,82,5,87,94.25
7123,Region VI - Western Visayas,Division of Aklan,Administrative Officer I,11,1,12,91.67
7124,Region VI - Western Visayas,Division of Aklan,Administrative Officer II,148,136,284,52.11
7125,Region VI - Western Visayas,Division of Aklan,Administrative Officer IV,7,1,8,87.5
7126,Region VI - Western Visayas,Division of Aklan,Administrative Officer V,2,0,2,100
7127,Region VI - Western Visayas,Division of Aklan,Assistant Schools Division Superintendent,1,0,1,100
7128,Region VI - Western Visayas,Division of Aklan,Chief Education Supervisor,2,0,2,100
7129,Region VI - Western Visayas,Division of Aklan,Dentist II,2,0,2,100
7130,Region VI - Western Visayas,Division of Aklan,Education Program Specialist II,5,0,5,100
7131,Region VI - Western Visayas,Division of Aklan,Education Program Supervisor,11,0,11,100
7132,Region VI - Western Visayas,Division of Aklan,Engineer III,1,0,1,100
7133,Region VI - Western Visayas,Division of Aklan,Guidance Counselor I,1,3,4,25
7134,Region VI - Western Visayas,Division of Aklan,Guidance Counselor III,3,4,7,42.86
7135,Region VI - Western Visayas,Division of Aklan,Head Teacher I,59,6,65,90.77
7136,Region VI - Western Visayas,Division of Aklan,Head Teacher II,12,0,12,100
7137,Region VI - Western Visayas,Division of Aklan,Head Teacher III,58,3,61,95.08
7138,Region VI - Western Visayas,Division of Aklan,Head Teacher IV,6,0,6,100
7139,Region VI - Western Visayas,Division of Aklan,Head Teacher VI,2,0,2,100
7140,Region VI - Western Visayas,Division of Aklan,Information Technology Officer I,1,0,1,100
7141,Region VI - Western Visayas,Division of Aklan,Librarian II,1,0,1,100
7142,Region VI - Western Visayas,Division of Aklan,Master Teacher I,300,7,307,97.72
7143,Region VI - Western Visayas,Division of Aklan,Master Teacher II,125,0,125,100
7144,Region VI - Western Visayas,Division of Aklan,Master Teacher III,4,0,4,100
7145,Region VI - Western Visayas,Division of Aklan,Medical Officer III,1,0,1,100
7146,Region VI - Western Visayas,Division of Aklan,Nurse II,16,0,16,100
7147,Region VI - Western Visayas,Division of Aklan,Planning Officer III,1,0,1,100
7148,Region VI - Western Visayas,Division of Aklan,Project Development Officer I,5,0,5,100
7149,Region VI - Western Visayas,Division of Aklan,Project Development Officer II,2,0,2,100
7150,Region VI - Western Visayas,Division of Aklan,Public Schools District Supervisor,10,0,10,100
7151,Region VI - Western Visayas,Division of Aklan,Registrar I,4,0,4,100
7152,Region VI - Western Visayas,Division of Aklan,School Librarian I,1,1,2,50
7153,Region VI - Western Visayas,Division of Aklan,School Librarian III,4,0,4,100
7154,Region VI - Western Visayas,Division of Aklan,School Principal I,78,7,85,91.76
7155,Region VI - Western Visayas,Division of Aklan,School Principal II,52,2,54,96.3
7156,Region VI - Western Visayas,Division of Aklan,School Principal III,14,1,15,93.33
7157,Region VI - Western Visayas,Division of Aklan,School Principal IV,2,0,2,100
7158,Region VI - Western Visayas,Division of Aklan,Schools Division Superintendent,1,0,1,100
7159,Region VI - Western Visayas,Division of Aklan,Security Guard I,17,0,17,100
7160,Region VI - Western Visayas,Division of Aklan,Senior Education Program Specialist,4,0,4,100
7161,Region VI - Western Visayas,Division of Aklan,Special Education Teacher I,23,4,27,85.19
7162,Region VI - Western Visayas,Division of Aklan,Special Education Teacher II,8,0,8,100
7163,Region VI - Western Visayas,Division of Aklan,Special Science Teacher I,37,6,43,86.05
7164,Region VI - Western Visayas,Division of Aklan,Teacher I,1708,45,1753,97.43
7165,Region VI - Western Visayas,Division of Aklan,Teacher II,852,26,878,97.04
7166,Region VI - Western Visayas,Division of Aklan,Teacher III,2893,28,2921,99.04
7167,Region VI - Western Visayas,Division of Aklan,Watchman I,3,0,3,100
7168,Region VI - Western Visayas,Division of Antique,Accountant I,4,1,5,80
7169,Region VI - Western Visayas,Division of Antique,Accountant III,1,0,1,100
7170,Region VI - Western Visayas,Division of Antique,Administrative Aide I,56,6,62,90.32
7171,Region VI - Western Visayas,Division of Antique,Administrative Aide II,3,0,3,100
7172,Region VI - Western Visayas,Division of Antique,Administrative Aide III,17,3,20,85
7173,Region VI - Western Visayas,Division of Antique,Administrative Aide IV,10,5,15,66.67
7174,Region VI - Western Visayas,Division of Antique,Administrative Aide VI,6,6,12,50
7175,Region VI - Western Visayas,Division of Antique,Administrative Assistant I,1,0,1,100
7176,Region VI - Western Visayas,Division of Antique,Administrative Assistant II,105,46,151,69.54
7177,Region VI - Western Visayas,Division of Antique,Administrative Assistant III,67,26,93,72.04
7178,Region VI - Western Visayas,Division of Antique,Administrative Officer I,14,4,18,77.78
7179,Region VI - Western Visayas,Division of Antique,Administrative Officer II,395,10,405,97.53
7180,Region VI - Western Visayas,Division of Antique,Administrative Officer IV,7,2,9,77.78
7181,Region VI - Western Visayas,Division of Antique,Administrative Officer V,1,1,2,50
7182,Region VI - Western Visayas,Division of Antique,Assistant School Principal II,7,2,9,77.78
7183,Region VI - Western Visayas,Division of Antique,Assistant Schools Division Superintendent,1,0,1,100
7184,Region VI - Western Visayas,Division of Antique,Attorney III,1,0,1,100
7185,Region VI - Western Visayas,Division of Antique,Chief Education Supervisor,2,0,2,100
7186,Region VI - Western Visayas,Division of Antique,Dental Aide,2,1,3,66.67
7187,Region VI - Western Visayas,Division of Antique,Dentist I,1,0,1,100
7188,Region VI - Western Visayas,Division of Antique,Dentist II,3,0,3,100
7189,Region VI - Western Visayas,Division of Antique,Education Program Specialist II,4,1,5,80
7190,Region VI - Western Visayas,Division of Antique,Education Program Supervisor,11,0,11,100
7191,Region VI - Western Visayas,Division of Antique,Engineer III,1,0,1,100
7192,Region VI - Western Visayas,Division of Antique,Guidance Coordinator III,1,0,1,100
7193,Region VI - Western Visayas,Division of Antique,Guidance Counselor I,1,5,6,16.67
7194,Region VI - Western Visayas,Division of Antique,Guidance Counselor III,5,3,8,62.5
7195,Region VI - Western Visayas,Division of Antique,Head Teacher I,43,9,52,82.69
7196,Region VI - Western Visayas,Division of Antique,Head Teacher II,9,1,10,90
7197,Region VI - Western Visayas,Division of Antique,Head Teacher III,69,11,80,86.25
7198,Region VI - Western Visayas,Division of Antique,Head Teacher IV,9,0,9,100
7199,Region VI - Western Visayas,Division of Antique,Head Teacher VI,2,0,2,100
7200,Region VI - Western Visayas,Division of Antique,Information Technology Officer I,1,0,1,100
7201,Region VI - Western Visayas,Division of Antique,Librarian II,1,0,1,100
7202,Region VI - Western Visayas,Division of Antique,Master Teacher I,323,15,338,95.56
7203,Region VI - Western Visayas,Division of Antique,Master Teacher II,117,7,124,94.35
7204,Region VI - Western Visayas,Division of Antique,Master Teacher III,1,0,1,100
7205,Region VI - Western Visayas,Division of Antique,Medical Officer III,1,0,1,100
7206,Region VI - Western Visayas,Division of Antique,Nurse II,50,3,53,94.34
7207,Region VI - Western Visayas,Division of Antique,Planning Officer III,1,0,1,100
7208,Region VI - Western Visayas,Division of Antique,Project Development Officer I,6,1,7,85.71
7209,Region VI - Western Visayas,Division of Antique,Project Development Officer II,2,0,2,100
7210,Region VI - Western Visayas,Division of Antique,Public Schools District Supervisor,9,1,10,90
7211,Region VI - Western Visayas,Division of Antique,Registrar I,6,2,8,75
7212,Region VI - Western Visayas,Division of Antique,School Librarian I,2,1,3,66.67
7213,Region VI - Western Visayas,Division of Antique,School Librarian II,2,0,2,100
7214,Region VI - Western Visayas,Division of Antique,School Librarian III,2,0,2,100
7215,Region VI - Western Visayas,Division of Antique,School Principal I,120,10,130,92.31
7216,Region VI - Western Visayas,Division of Antique,School Principal II,33,6,39,84.62
7217,Region VI - Western Visayas,Division of Antique,School Principal III,11,2,13,84.62
7218,Region VI - Western Visayas,Division of Antique,School Principal IV,3,0,3,100
7219,Region VI - Western Visayas,Division of Antique,Schools Division Superintendent,1,0,1,100
7220,Region VI - Western Visayas,Division of Antique,Security Guard I,19,3,22,86.36
7221,Region VI - Western Visayas,Division of Antique,Security Guard II,1,0,1,100
7222,Region VI - Western Visayas,Division of Antique,Senior Education Program Specialist,4,0,4,100
7223,Region VI - Western Visayas,Division of Antique,Special Education Teacher I,25,2,27,92.59
7224,Region VI - Western Visayas,Division of Antique,Special Education Teacher II,1,0,1,100
7225,Region VI - Western Visayas,Division of Antique,Special Science Teacher I,22,1,23,95.65
7226,Region VI - Western Visayas,Division of Antique,Teacher I,3070,78,3148,97.52
7227,Region VI - Western Visayas,Division of Antique,Teacher II,1582,42,1624,97.41
7228,Region VI - Western Visayas,Division of Antique,Teacher III,1595,39,1634,97.61
7229,Region VI - Western Visayas,Division of Antique,Watchman I,7,4,11,63.64
7230,Region VI - Western Visayas,Division of Bacolod City,Accountant I,1,1,2,50
7231,Region VI - Western Visayas,Division of Bacolod City,Accountant III,1,0,1,100
7232,Region VI - Western Visayas,Division of Bacolod City,Administrative Aide I,24,3,27,88.89
7233,Region VI - Western Visayas,Division of Bacolod City,Administrative Aide III,7,0,7,100
7234,Region VI - Western Visayas,Division of Bacolod City,Administrative Aide IV,14,0,14,100
7235,Region VI - Western Visayas,Division of Bacolod City,Administrative Aide VI,7,1,8,87.5
7236,Region VI - Western Visayas,Division of Bacolod City,Administrative Assistant I,1,0,1,100
7237,Region VI - Western Visayas,Division of Bacolod City,Administrative Assistant II,59,2,61,96.72
7238,Region VI - Western Visayas,Division of Bacolod City,Administrative Assistant III,37,1,38,97.37
7239,Region VI - Western Visayas,Division of Bacolod City,Administrative Officer I,8,0,8,100
7240,Region VI - Western Visayas,Division of Bacolod City,Administrative Officer II,57,0,57,100
7241,Region VI - Western Visayas,Division of Bacolod City,Administrative Officer IV,5,0,5,100
7242,Region VI - Western Visayas,Division of Bacolod City,Administrative Officer V,2,0,2,100
7243,Region VI - Western Visayas,Division of Bacolod City,Assistant School Principal II,5,0,5,100
7244,Region VI - Western Visayas,Division of Bacolod City,Assistant Schools Division Superintendent,1,0,1,100
7245,Region VI - Western Visayas,Division of Bacolod City,Attorney III,1,0,1,100
7246,Region VI - Western Visayas,Division of Bacolod City,Chief Education Supervisor,2,0,2,100
7247,Region VI - Western Visayas,Division of Bacolod City,Dental Aide,1,0,1,100
7248,Region VI - Western Visayas,Division of Bacolod City,Dentist II,2,0,2,100
7249,Region VI - Western Visayas,Division of Bacolod City,Education Program Specialist II,5,0,5,100
7250,Region VI - Western Visayas,Division of Bacolod City,Education Program Supervisor,11,0,11,100
7251,Region VI - Western Visayas,Division of Bacolod City,Engineer III,1,0,1,100
7252,Region VI - Western Visayas,Division of Bacolod City,Guidance Counselor I,3,4,7,42.86
7253,Region VI - Western Visayas,Division of Bacolod City,Guidance Counselor II,6,14,20,30
7254,Region VI - Western Visayas,Division of Bacolod City,Guidance Counselor III,4,0,4,100
7255,Region VI - Western Visayas,Division of Bacolod City,Head Teacher I,16,0,16,100
7256,Region VI - Western Visayas,Division of Bacolod City,Head Teacher II,4,1,5,80
7257,Region VI - Western Visayas,Division of Bacolod City,Head Teacher III,15,1,16,93.75
7258,Region VI - Western Visayas,Division of Bacolod City,Head Teacher IV,16,2,18,88.89
7259,Region VI - Western Visayas,Division of Bacolod City,Head Teacher V,12,0,12,100
7260,Region VI - Western Visayas,Division of Bacolod City,Head Teacher VI,8,0,8,100
7261,Region VI - Western Visayas,Division of Bacolod City,Information Technology Officer I,1,0,1,100
7262,Region VI - Western Visayas,Division of Bacolod City,Librarian II,1,0,1,100
7263,Region VI - Western Visayas,Division of Bacolod City,Master Teacher I,248,4,252,98.41
7264,Region VI - Western Visayas,Division of Bacolod City,Master Teacher II,111,2,113,98.23
7265,Region VI - Western Visayas,Division of Bacolod City,Master Teacher III,22,0,22,100
7266,Region VI - Western Visayas,Division of Bacolod City,Nurse II,11,0,11,100
7267,Region VI - Western Visayas,Division of Bacolod City,Planning Officer III,1,0,1,100
7268,Region VI - Western Visayas,Division of Bacolod City,Project Development Officer I,6,1,7,85.71
7269,Region VI - Western Visayas,Division of Bacolod City,Project Development Officer II,2,0,2,100
7270,Region VI - Western Visayas,Division of Bacolod City,Public Schools District Supervisor,9,1,10,90
7271,Region VI - Western Visayas,Division of Bacolod City,Registrar I,7,0,7,100
7272,Region VI - Western Visayas,Division of Bacolod City,School Librarian I,2,0,2,100
7273,Region VI - Western Visayas,Division of Bacolod City,School Librarian III,2,0,2,100
7274,Region VI - Western Visayas,Division of Bacolod City,School Principal I,14,2,16,87.5
7275,Region VI - Western Visayas,Division of Bacolod City,School Principal II,11,1,12,91.67
7276,Region VI - Western Visayas,Division of Bacolod City,School Principal III,21,0,21,100
7277,Region VI - Western Visayas,Division of Bacolod City,School Principal IV,18,0,18,100
7278,Region VI - Western Visayas,Division of Bacolod City,Security Guard I,16,0,16,100
7279,Region VI - Western Visayas,Division of Bacolod City,Senior Education Program Specialist,4,0,4,100
7280,Region VI - Western Visayas,Division of Bacolod City,Special Education Teacher I,26,2,28,92.86
7281,Region VI - Western Visayas,Division of Bacolod City,Special Education Teacher II,1,0,1,100
7282,Region VI - Western Visayas,Division of Bacolod City,Special Science Teacher I,32,20,52,61.54
7283,Region VI - Western Visayas,Division of Bacolod City,Teacher I,1737,72,1809,96.02
7284,Region VI - Western Visayas,Division of Bacolod City,Teacher II,731,33,764,95.68
7285,Region VI - Western Visayas,Division of Bacolod City,Teacher III,1075,16,1091,98.53
7286,Region VI - Western Visayas,Division of Bago City,Accountant III,1,0,1,100
7287,Region VI - Western Visayas,Division of Bago City,Administrative Aide I,12,4,16,75
7288,Region VI - Western Visayas,Division of Bago City,Administrative Aide II,1,0,1,100
7289,Region VI - Western Visayas,Division of Bago City,Administrative Aide III,2,0,2,100
7290,Region VI - Western Visayas,Division of Bago City,Administrative Aide IV,4,0,4,100
7291,Region VI - Western Visayas,Division of Bago City,Administrative Aide VI,6,2,8,75
7292,Region VI - Western Visayas,Division of Bago City,Administrative Assistant I,1,0,1,100
7293,Region VI - Western Visayas,Division of Bago City,Administrative Assistant II,24,5,29,82.76
7294,Region VI - Western Visayas,Division of Bago City,Administrative Assistant III,25,2,27,92.59
7295,Region VI - Western Visayas,Division of Bago City,Administrative Officer I,2,0,2,100
7296,Region VI - Western Visayas,Division of Bago City,Administrative Officer II,33,4,37,89.19
7297,Region VI - Western Visayas,Division of Bago City,Administrative Officer IV,5,0,5,100
7298,Region VI - Western Visayas,Division of Bago City,Administrative Officer V,2,0,2,100
7299,Region VI - Western Visayas,Division of Bago City,Assistant School Principal II,2,1,3,66.67
7300,Region VI - Western Visayas,Division of Bago City,Attorney III,1,0,1,100
7301,Region VI - Western Visayas,Division of Bago City,Chief Education Supervisor,2,0,2,100
7302,Region VI - Western Visayas,Division of Bago City,Dentist II,1,1,2,50
7303,Region VI - Western Visayas,Division of Bago City,Education Program Specialist II,4,1,5,80
7304,Region VI - Western Visayas,Division of Bago City,Education Program Supervisor,10,1,11,90.91
7305,Region VI - Western Visayas,Division of Bago City,Engineer III,1,0,1,100
7306,Region VI - Western Visayas,Division of Bago City,Guidance Counselor I,1,2,3,33.33
7307,Region VI - Western Visayas,Division of Bago City,Guidance Counselor II,1,8,9,11.11
7308,Region VI - Western Visayas,Division of Bago City,Guidance Counselor III,1,2,3,33.33
7309,Region VI - Western Visayas,Division of Bago City,Head Teacher I,9,1,10,90
7310,Region VI - Western Visayas,Division of Bago City,Head Teacher III,7,2,9,77.78
7311,Region VI - Western Visayas,Division of Bago City,Head Teacher IV,3,0,3,100
7312,Region VI - Western Visayas,Division of Bago City,Head Teacher V,1,0,1,100
7313,Region VI - Western Visayas,Division of Bago City,Head Teacher VI,1,0,1,100
7314,Region VI - Western Visayas,Division of Bago City,Information Technology Officer I,1,0,1,100
7315,Region VI - Western Visayas,Division of Bago City,Librarian II,1,0,1,100
7316,Region VI - Western Visayas,Division of Bago City,Master Teacher I,84,10,94,89.36
7317,Region VI - Western Visayas,Division of Bago City,Master Teacher II,19,8,27,70.37
7318,Region VI - Western Visayas,Division of Bago City,Medical Officer III,1,0,1,100
7319,Region VI - Western Visayas,Division of Bago City,Nurse II,6,1,7,85.71
7320,Region VI - Western Visayas,Division of Bago City,Planning Officer III,1,0,1,100
7321,Region VI - Western Visayas,Division of Bago City,Project Development Officer I,7,0,7,100
7322,Region VI - Western Visayas,Division of Bago City,Project Development Officer II,2,0,2,100
7323,Region VI - Western Visayas,Division of Bago City,Public Schools District Supervisor,10,0,10,100
7324,Region VI - Western Visayas,Division of Bago City,Registrar I,3,0,3,100
7325,Region VI - Western Visayas,Division of Bago City,School Principal I,17,15,32,53.12
7326,Region VI - Western Visayas,Division of Bago City,School Principal II,9,0,9,100
7327,Region VI - Western Visayas,Division of Bago City,School Principal III,2,1,3,66.67
7328,Region VI - Western Visayas,Division of Bago City,Schools Division Superintendent,1,0,1,100
7329,Region VI - Western Visayas,Division of Bago City,Security Guard I,3,1,4,75
7330,Region VI - Western Visayas,Division of Bago City,Senior Education Program Specialist,4,0,4,100
7331,Region VI - Western Visayas,Division of Bago City,Special Education Teacher I,7,0,7,100
7332,Region VI - Western Visayas,Division of Bago City,Special Science Teacher I,6,2,8,75
7333,Region VI - Western Visayas,Division of Bago City,Teacher I,521,38,559,93.2
7334,Region VI - Western Visayas,Division of Bago City,Teacher II,237,31,268,88.43
7335,Region VI - Western Visayas,Division of Bago City,Teacher III,561,38,599,93.66
7336,Region VI - Western Visayas,Division of Cadiz City,Accountant I,1,0,1,100
7337,Region VI - Western Visayas,Division of Cadiz City,Accountant III,1,0,1,100
7338,Region VI - Western Visayas,Division of Cadiz City,Administrative Aide I,13,0,13,100
7339,Region VI - Western Visayas,Division of Cadiz City,Administrative Aide II,1,0,1,100
7340,Region VI - Western Visayas,Division of Cadiz City,Administrative Aide III,1,1,2,50
7341,Region VI - Western Visayas,Division of Cadiz City,Administrative Aide IV,3,0,3,100
7342,Region VI - Western Visayas,Division of Cadiz City,Administrative Aide VI,6,2,8,75
7343,Region VI - Western Visayas,Division of Cadiz City,Administrative Assistant I,1,0,1,100
7344,Region VI - Western Visayas,Division of Cadiz City,Administrative Assistant II,37,0,37,100
7345,Region VI - Western Visayas,Division of Cadiz City,Administrative Assistant III,29,0,29,100
7346,Region VI - Western Visayas,Division of Cadiz City,Administrative Officer I,2,0,2,100
7347,Region VI - Western Visayas,Division of Cadiz City,Administrative Officer II,36,17,53,67.92
7348,Region VI - Western Visayas,Division of Cadiz City,Administrative Officer IV,5,0,5,100
7349,Region VI - Western Visayas,Division of Cadiz City,Administrative Officer V,2,0,2,100
7350,Region VI - Western Visayas,Division of Cadiz City,Assistant School Principal II,3,0,3,100
7351,Region VI - Western Visayas,Division of Cadiz City,Attorney III,1,0,1,100
7352,Region VI - Western Visayas,Division of Cadiz City,Chief Education Supervisor,2,0,2,100
7353,Region VI - Western Visayas,Division of Cadiz City,Dentist II,2,0,2,100
7354,Region VI - Western Visayas,Division of Cadiz City,Education Program Specialist II,5,0,5,100
7355,Region VI - Western Visayas,Division of Cadiz City,Education Program Supervisor,10,1,11,90.91
7356,Region VI - Western Visayas,Division of Cadiz City,Engineer III,1,0,1,100
7357,Region VI - Western Visayas,Division of Cadiz City,Guidance Counselor III,2,1,3,66.67
7358,Region VI - Western Visayas,Division of Cadiz City,Head Teacher I,8,2,10,80
7359,Region VI - Western Visayas,Division of Cadiz City,Head Teacher II,2,0,2,100
7360,Region VI - Western Visayas,Division of Cadiz City,Head Teacher III,13,6,19,68.42
7361,Region VI - Western Visayas,Division of Cadiz City,Head Teacher IV,1,1,2,50
7362,Region VI - Western Visayas,Division of Cadiz City,Information Technology Officer I,1,0,1,100
7363,Region VI - Western Visayas,Division of Cadiz City,Librarian II,1,0,1,100
7364,Region VI - Western Visayas,Division of Cadiz City,Master Teacher I,73,15,88,82.95
7365,Region VI - Western Visayas,Division of Cadiz City,Master Teacher II,29,2,31,93.55
7366,Region VI - Western Visayas,Division of Cadiz City,Medical Officer III,1,0,1,100
7367,Region VI - Western Visayas,Division of Cadiz City,Nurse II,6,1,7,85.71
7368,Region VI - Western Visayas,Division of Cadiz City,Planning Officer III,1,0,1,100
7369,Region VI - Western Visayas,Division of Cadiz City,Project Development Officer I,4,0,4,100
7370,Region VI - Western Visayas,Division of Cadiz City,Project Development Officer II,2,0,2,100
7371,Region VI - Western Visayas,Division of Cadiz City,Public Schools District Supervisor,10,0,10,100
7372,Region VI - Western Visayas,Division of Cadiz City,Registrar I,2,0,2,100
7373,Region VI - Western Visayas,Division of Cadiz City,School Librarian II,1,0,1,100
7374,Region VI - Western Visayas,Division of Cadiz City,School Principal I,24,4,28,85.71
7375,Region VI - Western Visayas,Division of Cadiz City,School Principal II,8,1,9,88.89
7376,Region VI - Western Visayas,Division of Cadiz City,School Principal III,2,1,3,66.67
7377,Region VI - Western Visayas,Division of Cadiz City,School Principal IV,4,0,4,100
7378,Region VI - Western Visayas,Division of Cadiz City,Schools Division Superintendent,1,0,1,100
7379,Region VI - Western Visayas,Division of Cadiz City,Security Guard I,3,0,3,100
7380,Region VI - Western Visayas,Division of Cadiz City,Senior Education Program Specialist,3,1,4,75
7381,Region VI - Western Visayas,Division of Cadiz City,Special Education Teacher I,9,2,11,81.82
7382,Region VI - Western Visayas,Division of Cadiz City,Special Science Teacher I,10,0,10,100
7383,Region VI - Western Visayas,Division of Cadiz City,Teacher I,536,12,548,97.81
7384,Region VI - Western Visayas,Division of Cadiz City,Teacher II,304,33,337,90.21
7385,Region VI - Western Visayas,Division of Cadiz City,Teacher III,597,27,624,95.67
7386,Region VI - Western Visayas,Division of Cadiz City,Watchman I,1,0,1,100
7387,Region VI - Western Visayas,Division of Capiz,Accountant I,2,1,3,66.67
7388,Region VI - Western Visayas,Division of Capiz,Accountant III,1,0,1,100
7389,Region VI - Western Visayas,Division of Capiz,Administrative Aide I,31,5,36,86.11
7390,Region VI - Western Visayas,Division of Capiz,Administrative Aide III,8,3,11,72.73
7391,Region VI - Western Visayas,Division of Capiz,Administrative Aide IV,1,1,2,50
7392,Region VI - Western Visayas,Division of Capiz,Administrative Aide VI,9,1,10,90
7393,Region VI - Western Visayas,Division of Capiz,Administrative Assistant I,1,0,1,100
7394,Region VI - Western Visayas,Division of Capiz,Administrative Assistant II,109,51,160,68.12
7395,Region VI - Western Visayas,Division of Capiz,Administrative Assistant III,84,11,95,88.42
7396,Region VI - Western Visayas,Division of Capiz,Administrative Officer I,8,1,9,88.89
7397,Region VI - Western Visayas,Division of Capiz,Administrative Officer II,226,130,356,63.48
7398,Region VI - Western Visayas,Division of Capiz,Administrative Officer IV,7,1,8,87.5
7399,Region VI - Western Visayas,Division of Capiz,Administrative Officer V,2,0,2,100
7400,Region VI - Western Visayas,Division of Capiz,Assistant School Principal II,11,1,12,91.67
7401,Region VI - Western Visayas,Division of Capiz,Attorney III,1,0,1,100
7402,Region VI - Western Visayas,Division of Capiz,Chief Education Supervisor,1,1,2,50
7403,Region VI - Western Visayas,Division of Capiz,Dental Aide,2,0,2,100
7404,Region VI - Western Visayas,Division of Capiz,Dentist II,2,1,3,66.67
7405,Region VI - Western Visayas,Division of Capiz,Education Program Specialist II,5,0,5,100
7406,Region VI - Western Visayas,Division of Capiz,Education Program Supervisor,11,0,11,100
7407,Region VI - Western Visayas,Division of Capiz,Engineer III,1,0,1,100
7408,Region VI - Western Visayas,Division of Capiz,Guidance Counselor I,3,8,11,27.27
7409,Region VI - Western Visayas,Division of Capiz,Guidance Counselor III,1,5,6,16.67
7410,Region VI - Western Visayas,Division of Capiz,Head Teacher I,84,4,88,95.45
7411,Region VI - Western Visayas,Division of Capiz,Head Teacher II,29,2,31,93.55
7412,Region VI - Western Visayas,Division of Capiz,Head Teacher III,78,4,82,95.12
7413,Region VI - Western Visayas,Division of Capiz,Head Teacher IV,10,1,11,90.91
7414,Region VI - Western Visayas,Division of Capiz,Head Teacher V,2,1,3,66.67
7415,Region VI - Western Visayas,Division of Capiz,Head Teacher VI,3,0,3,100
7416,Region VI - Western Visayas,Division of Capiz,Information Technology Officer I,1,0,1,100
7417,Region VI - Western Visayas,Division of Capiz,Librarian II,1,0,1,100
7418,Region VI - Western Visayas,Division of Capiz,Master Teacher I,444,15,459,96.73
7419,Region VI - Western Visayas,Division of Capiz,Master Teacher II,165,4,169,97.63
7420,Region VI - Western Visayas,Division of Capiz,Master Teacher III,3,0,3,100
7421,Region VI - Western Visayas,Division of Capiz,Medical Officer III,1,0,1,100
7422,Region VI - Western Visayas,Division of Capiz,Nurse II,14,0,14,100
7423,Region VI - Western Visayas,Division of Capiz,Planning Officer III,1,0,1,100
7424,Region VI - Western Visayas,Division of Capiz,Project Development Officer I,7,0,7,100
7425,Region VI - Western Visayas,Division of Capiz,Project Development Officer II,2,0,2,100
7426,Region VI - Western Visayas,Division of Capiz,Public Schools District Supervisor,10,0,10,100
7427,Region VI - Western Visayas,Division of Capiz,Registrar I,16,2,18,88.89
